SNo.,State,turnout_24,turnout_19,female_24,female_19,regional_24,regional_19,income_pc,un_rate,mpi
1,Andaman & Nicobar Islands,64.16,65.12304103,63.75,65.46840228,6.72,6.0558,172275,9.7,1.63
2,Andhra Pradesh,81.78,80.38002468,80.3,79.56492738,84.78,97.2417,126690,4.1,4.19
3,Arunachal Pradesh,81.07,82.10507452,79.42,80.77639321,20.28,20.176,102870,4.8,10.05
4,Assam,81.87,81.59956851,81.71,81.32771925,22.87,26.9083,68813,1.7,14.47
5,Bihar,56.28,57.33302451,59.45,59.58456135,66.98,65.5034,29909,3.9,26.59
6,Chandigarh,68.03,70.60716312,67.22,70.78884886,1.98,6.508,244233,4,2.62
7,Chhattisgarh,72.94,71.63595941,72.22,70.54596486,4.26,4.4334,87838,2.5,11.71
8,Delhi,58.78,60.59867882,58.24,60.1381645,1.38,19.424,258941,1.9,2.97
9,Goa,76.99,75.14428582,76.66,76.16187458,7.97,4.5077,295114,9.7,0.37
10,Gujarat,60.74,64.51125836,56.55,60.90240004,1.93,3.3836,181963,1.7,9.03
11,Haryana,64.77,70.33849458,63.45,69.54661321,4.69,9.4964,173973,6.1,5.3
12,Himachal Pradesh,71.45,72.41704461,72.55,74.30575488,0.81,1.5116,151124,4.4,3.88
13,Jharkhand,66.77,66.801505,68.66,68.25721292,34.32,30.2256,60938,1.7,23.34
14,Karnataka,70.9,68.81254804,70.16,67.64764044,7.67,14.8565,175895,2.4,5.67
15,Kerala,72.04,77.83741902,71.86,78.78296255,21.57,17.2503,152870,7,0.48
16,Madhya Pradesh,67.01,71.1974946,64.23,68.66767885,3.64,3.9637,63379,1.6,15.01
17,Maharashtra,61.52,61.02041223,59.04,58.82472735,55.81,38.9509,153664,3.1,5.48
18,Manipur,78.28,82.69450893,78.72,84.1330039,35.35,32.4957,60204,4.7,5.37
19,Meghalaya,76.89,71.43105584,78.74,73.93319754,41.11,43.3405,69997,6,25.46
20,Mizoram,57.1,63.13813624,55.66,62.39652861,73.01,94.2252,140016,2.2,3.77
21,Nagaland,57.84,83.00017219,57.89,82.68880858,47.05,51.7904,76462,4.3,11.76
22,Odisha,74.78,73.28864369,75.56,74.20054548,40.86,45.9607,90172,3.9,11.07
23,Puducherry,79.24,81.24993579,79.13,81.51518749,10.17,42.5003,138988,5.6,0.58
24,Punjab,62.79,65.94318975,62.26,65.61590401,26.21,45.7269,123874,6.1,4.35
25,Rajasthan,62.07,66.33835496,60.71,65.54754475,9.37,4.9087,84935,4.4,10.77
26,Sikkim,83.26,81.40801791,79.63,78.59945854,94.43,94.1162,273145,2.2,2.1
27,Tamil Nadu,70.14,72.43647975,69.86,72.28767132,74.97,78.5983,166590,4.3,1.43
28,Telangana,66.3,62.76582062,65.28,62.56972057,23.82,49.4669,169354,4.4,3.76
29,Tripura,81.82,82.40085547,80.56,81.96865006,3.99,6.9135,91455,1.4,11.49
30,Uttar Pradesh,56.99,59.21388242,57.22,59.56358982,39.34,24.0883,47808,4.5,17.4
31,Uttarakhand,57.69,61.87905072,58.56,64.39038473,7.61,1.9406,149547,2.4,6.92
32,West Bengal,79.55,81.75566894,80.16,81.79362446,50.09,2.8595,74334,2.2,8.6
